repo,retention_tier,intra_repo_id,path_template_labeled,path_template,filename_template,filename_regex,sample_filename,anomaly,file_count_snapshot,first_seen_snapshot,last_seen_snapshot
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/Benchmark_Price/,/Reports/ARCHIVE/GSH/Benchmark_Price/,PUBLIC_WALLUMBILLABENCHMARKPRICE_{date}.zip,PUBLIC_WALLUMBILLABENCHMARKPRICE_\d{8}\.zip,PUBLIC_WALLUMBILLABENCHMARKPRICE_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:50:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_AUCTION_CURTAILMENT_NOTICE/,/Reports/ARCHIVE/GSH/GSH_AUCTION_CURTAILMENT_NOTICE/,PUBLIC_AUCTIONCURTAILMENTNOTICE _{date}.zip,PUBLIC_AUCTIONCURTAILMENTNOTICE\ _\d{8}\.zip,PUBLIC_AUCTIONCURTAILMENTNOTICE _20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:48:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_AUCTION_PRICE_VOLUME/,/Reports/ARCHIVE/GSH/GSH_AUCTION_PRICE_VOLUME/,PUBLIC_AUCTIONPRICEVOLUME_{date}.zip,PUBLIC_AUCTIONPRICEVOLUME_\d{8}\.zip,PUBLIC_AUCTIONPRICEVOLUME_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:48:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_AUCTION_QUANTITIES/,/Reports/ARCHIVE/GSH/GSH_AUCTION_QUANTITIES/,PUBLIC_AUCTIONQUANTITIES_{date}.zip,PUBLIC_AUCTIONQUANTITIES_\d{8}\.zip,PUBLIC_AUCTIONQUANTITIES_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_CAPACITY_TRANSACTION/,/Reports/ARCHIVE/GSH/GSH_CAPACITY_TRANSACTION/,PUBLIC_SECONDARYCAPACITYTRADES_{date}.zip,PUBLIC_SECONDARYCAPACITYTRADES_\d{8}\.zip,PUBLIC_SECONDARYCAPACITYTRADES_20260101.zip,,1,2026-02-02T14:04:00,2026-02-02T14:04:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_CAPACITY_TRANSFER_AUCTION_NOTICE/,/Reports/ARCHIVE/GSH/GSH_CAPACITY_TRANSFER_AUCTION_NOTICE/,PUBLIC_CAPACITYTRANSFERAUCTIONNOTICE_{date}.zip,PUBLIC_CAPACITYTRANSFERAUCTIONNOTICE_\d{8}\.zip,PUBLIC_CAPACITYTRANSFERAUCTIONNOTICE_20260301.zip,,1,2026-04-01T01:51:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_Daily_Trans_Summary/,/Reports/ARCHIVE/GSH/GSH_Daily_Trans_Summary/,PUBLIC_DAILYTRANSACTIONSUMMARY_{date}.zip,PUBLIC_DAILYTRANSACTIONSUMMARY_\d{8}\.zip,PUBLIC_DAILYTRANSACTIONSUMMARY_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_Historical_Trans_Summary/,/Reports/ARCHIVE/GSH/GSH_Historical_Trans_Summary/,PUBLIC_HISTORICALTRANSACTIONSUMMARY_{date}.zip,PUBLIC_HISTORICALTRANSACTIONSUMMARY_\d{8}\.zip,PUBLIC_HISTORICALTRANSACTIONSUMMARY_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_Participants/,/Reports/ARCHIVE/GSH/GSH_Participants/,PUBLIC_REGISTEREDPARTICIPANTS_{date}.zip,PUBLIC_REGISTEREDPARTICIPANTS_\d{8}\.zip,PUBLIC_REGISTEREDPARTICIPANTS_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
Reports,ARCHIVE,GSH,/Reports/ARCHIVE/GSH/GSH_REGISTERED_FACILITIES/,/Reports/ARCHIVE/GSH/GSH_REGISTERED_FACILITIES/,PUBLIC_REGISTEREDFACILITIES_{date}.zip,PUBLIC_REGISTEREDFACILITIES_\d{8}\.zip,PUBLIC_REGISTEREDFACILITIES_20250401.zip,,12,2025-05-01T01:15:00,2026-04-01T01:51:00
